Symbol,Acquirers_Multiple,ROIC,Revenue_Growth,Z_Score,Earnings_Stability,Debt_to_Equity,Beta,Market_Cap,Avg_Volume
ADBE,35.057655376842106,0.22331172974243593,0.14682557452171796,2.3046240639376743,0.06489553895309534,0.24700326916091536,1.298,235108417536,3294411
ABNB,41.847183346508565,0.0735286994429644,0.4318527613777945,0.010385081133446356,9.0488767846329,0.2821800367421923,1.189,72500969472,4624822
GOOGL,22.78664476338486,0.2094798107318237,0.1897510319217537,1.4262527585041451,0.26304934324080526,0.10058614082200869,1.046,2004699971584,25150666
GOOG,23.05123160101076,0.2094798107318237,0.1897510319217537,1.4262527585041451,0.26304934324080526,0.10058614082200869,1.046,2004697088000,17941091
AMZN,49.0859376064257,0.06981475938422367,0.141866608981704,0.5317318804063245,0.7946644894099976,0.6717572755417957,1.155,1740170461184,43470169
AMD,542.4849039002494,0.0059070486852765705,0.32440228174148333,0.03440377108344995,0.5407936890239732,0.05372861948042654,1.681,220631203840,54950709
AEP,25.738746310349445,0.03862583260932522,0.08361387696477496,0.31281711555169417,0.05823223040145635,1.7246172768222607,0.524,52169043968,2700785
AMGN,28.847591168291757,0.08128332338349424,0.035023948514048,-0.11433909051608787,0.0854724365491959,10.367939666238767,0.58,174465368064,2277527
ADI,28.055234515999963,0.08164493531419682,0.29984597196709317,0.5665831654147422,0.47278736939676014,0.19720101058559564,1.083,106011795456,3442524
ANSS,42.73612283612959,0.08550398579792773,0.10524159414162959,1.292241681033747,0.08609215905847825,0.1585043236412235,1.108,27007703040,487932
AAPL,28.719761450625978,0.32418182385424144,0.1176828346030312,1.0689502897190166,0.22911870064012307,1.9941750072410132,1.244,3243186585600,66472222
AMAT,20.409146799059315,0.24908067297992126,0.15517686278803566,2.81410394090273,0.25487868004049574,0.36693375741635575,1.551,157770629120,6038491
ARM,1041.9114229059828,0.014759682099154788,0.16837965314511316,0.5345654093604137,0.26003198286754053,0.04268177525967894,,124114640896,11171608
ASML,38.07527593466264,0.22629794156291058,0.25390606070023614,1.1805265594694363,0.30619456355057945,0.34429544170556925,1.076,344698781696,1295875
AZN,17.601754606741572,0.0862548086907505,0.19840484402920766,0.3054361692659144,0.7612861172621488,0.7307869070111832,0.148,253779181568,3964666
TEAM,-101.50303079178036,-0.08406149929178074,0.2985698733973472,-1.1330490878618011,-0.19986766204854026,1.9587793582129678,0.746,36126756864,1809346
ADSK,,,,,0.624096675571422,2.3283842794759826,1.485,51569143808,2026453
ADP,21.688849555930297,0.09162900297446595,0.08568578808011473,0.9107170909465496,0.15968575531271662,0.8147814231682646,0.791,107164450816,1591077
BKR,14.669133575757575,0.07145757206658547,0.07198581884212119,-0.09837867099742861,-2.394197140551606,0.38797602938333653,1.398,35214782464,6425830
BIIB,18.827901182895527,0.06821060317081892,-0.09894564335225897,1.1444030128740017,0.5403847904776873,0.4958444261253835,-0.038,29725245440,1085148
BKNG,19.677852276263923,0.23970914468819324,0.4649287723959301,2.621703228986936,0.8831044541159815,-5.387390670553936,1.385,113810309120,246345
AVGO,5.426912425992341,0.2257860858346715,0.14457579009761012,0.7966278255857043,0.5614099832503423,1.6353593463398366,1.188,678402195456,37769198
CDNS,116.66571589826958,0.2226369174940043,0.15090532009955182,1.9536715024329345,0.24660269088571982,0.22454557818693047,1.033,73569951744,1978245
CDW,20.160821959664464,0.1265299670294928,0.049960056808575626,0.256783794769884,0.15164443129204072,2.844014687882497,1.034,28359520256,955790
CHTR,12.2139156552055,0.08496327950378076,0.04322209450980563,0.16377001623718518,0.18215819540817166,6.643361869819269,1.04,51949158400,1298588
CTAS,37.68000102869866,0.22561612910367826,0.1048088069391524,2.3658042144368245,0.14859859997800293,0.618130226032418,1.305,75620081664,412227
CSCO,12.744800069913893,0.15279032321407532,0.04954556112918418,0.5267368338373326,0.07461426221291079,0.18918675174170857,0.844,184640372736,20581188
CCEP,18.34656746141215,0.08327066384084228,0.19945044363540232,0.6687017160046489,0.45720713471280855,1.4287863590772316,0.738,34215489536,1308543
CTSH,12.19220722138451,0.15787480387383002,0.051382227521475476,1.5284748146945841,0.20298353018047732,0.09941785741286761,1.054,36544864256,3903427
CMCSA,10.516318447561446,0.08803637311138887,0.05489260646161309,0.5701488986484701,0.3956119215368658,1.1632142044161164,1.003,152382865408,19706893
CEG,27.511687651891013,0.048445565231096575,0.12281661580241754,0.18086015997478228,1.8528109498930367,0.8205741626794258,0.736,58482221056,3613229
CPRT,30.437956717784374,0.220628628089047,0.20608473795265114,1.8063390126180656,0.2318634535482571,0.020117612869607043,1.275,48201506816,4530395
CSGP,93.81564440665959,0.03164904649259504,0.13954998272283037,0.45041985717008415,0.2219361054501144,0.15130951407625431,0.813,30305966080,2610712
COST,45.5936310456002,0.11760442937066991,0.13260984690123467,0.7842073223758588,0.1907366905917465,0.354537473062495,0.769,372148699136,1964909
CRWD,-27898.186554385964,-0.000300157074679682,0.517470863448231,-0.2240200736626084,-1.352438658408338,0.3392570843472371,1.095,58533187584,8343259
CSX,15.17224897336213,0.13101301641199772,0.11466773573303324,0.7555366911903414,0.16507015005541373,1.5679551636033957,1.197,66401845248,11349188
DDOG,-1086.917859909156,-0.008501876998184993,0.5221730409424246,-0.08272419813458697,-3.6056748574912363,0.44552063491123034,1.108,38152957952,3896888
DXCM,47.056327548937595,0.09541064729826802,0.2342129705143554,0.5431191635405859,0.3716999190975559,1.2539882045828097,1.159,28651980800,4857677
FANG,9.062666897184021,0.15796007034240198,0.44070980091223255,0.6414227095617393,3.065534576103364,0.3901893287435456,1.889,35231031296,1351070
DLTR,160.97935316239315,0.008500011351510886,0.06257339551848706,0.48094989443094877,1.485453174051969,1.4203142306272305,0.885,20404633600,2806175
DASH,-81.51455279029463,-0.05323369314512409,0.440971324478894,-0.8413783559368946,-0.6127700196410567,0.07661822985468957,1.671,51343855616,4478593
EA,24.216249356962024,0.11773472429210134,0.1034054925249106,1.1794932935916542,0.2515188534064708,0.2592839078929855,0.788,38842683392,2384717
EXC,20.638101721405434,0.039519035707955015,-0.1303904707470418,0.20610265298485414,0.13182063795884635,1.708716754028344,0.588,37558771712,7286085
FAST,24.95760562046183,0.3425351229021488,0.09165099653042308,2.183416612516525,0.13681259418408925,0.15975871954132823,1.0,37891985408,3294633
FTNT,40.52711921714517,0.17034261389466723,0.26924080665477,0.2030707131934591,0.3769718848050443,-2.141346568839016,0.979,52533882880,5537511
GEHC,18.665066605338808,0.07502927220065324,0.04437763000321171,0.3047975596228508,1.220671005702106,1.3492476060191518,,37592416256,2702012
GILD,12.912604200681045,0.14181086519114688,0.03174896491722001,0.835389939637827,0.667185356783492,1.0983779506791507,0.199,94173798400,7335611
GFS,19.911079253333334,0.06650410108623366,0.15073916532957599,-0.7892595876745733,5.849539008649937,0.2469733656174334,1.56,24460275712,1831650
HON,19.805440745565264,0.12277935798455912,0.03952588291669512,1.4969329540837055,0.08202864763927793,1.309895991727997,1.032,129817255936,2829141
IDXX,36.90994302214509,0.33655007400477005,0.10591160890866025,3.0193706296924008,0.15544364199744304,0.7189837861141236,1.32,39828652032,561525
ILMN,-99.10495250450451,-0.02195628523390367,0.11616691354364539,-0.07508653941252101,-2.3265999076842934,0.393733681462141,1.149,20183310336,2728671
INTC,3760.523858580645,0.00016181905497671893,-0.11361299273063152,0.5059230994090994,0.7403414502540241,0.4481244032192061,1.047,87615242240,56182580
INTU,,0.11306695464362851,0.23224543304408263,1.1324370050395969,0.10987523714730267,0.38734147895072096,1.232,175029977088,1481719
ISRG,90.60263904007245,0.11441893598419843,0.17797020842905664,0.8076054787423501,0.23281465171271754,0.0,1.39,164745658368,1540474
KDP,19.76727035190983,0.06126990216765778,0.08437706304762815,0.32462689430270475,0.2565211402347233,0.5773484966505686,0.618,46825787392,7873108
KLAC,28.45193690540762,0.235569925965263,0.12351949532510442,0.8805440816464581,0.21057617990697533,2.0246374462344523,1.263,101126578176,911148
KHC,11.916940031654121,0.05735064590044167,0.005758891673051769,0.21044178040491923,0.7049631085440053,0.4028800128715659,0.518,42571706368,8048730
LRCX,19.805146626132593,0.2777717583067679,0.201638849586657,2.558938395325691,0.2852860977610349,0.6104063349708142,1.491,104188174336,1102190
LIN,28.05243356149474,0.10232517850292658,0.06441529744640051,0.49090717847817744,0.367022745098963,0.4943423774181774,0.943,213701705728,1656951
LULU,13.465491646569351,0.31122326031759145,0.2976815357559004,1.8009443253969541,0.4085885295428416,0.3315820278487108,1.256,30219233280,2630219
MAR,18.953010364933743,0.15283944846926853,0.30905173156517085,1.3134844589857444,0.9390704014960988,-18.70967741935484,1.601,60752666624,1634009
MRVL,-129.34722374713698,-0.02056669100501684,0.2287350183006509,-0.06897142991732812,-0.7571587795517418,0.29675553218172257,1.46,52940095488,11307935
MELI,51.18309922545255,0.10330953190524765,0.5385451059867346,0.4917431712569421,1.1648155415179993,1.7365678931943993,1.597,94773723136,322514
META,27.147685572330005,0.20359894261463354,0.1620698681017323,1.172253215052499,0.24225631582641535,0.2430925519690797,1.212,1289272164352,14152393
MCHP,18.50506590377926,0.16119623012373058,0.11969890766195124,1.1281285437088928,0.5745559442349643,0.9060650665384962,1.538,41461104640,6635938
MU,-19.719182443671002,-0.084959691225449,-0.10165633642941962,0.6091278363992902,2.205379311238305,0.3157978241160471,1.18,102090891264,23457467
MSFT,27.55595934330595,0.21366830481702115,0.13400558612967717,1.1783953546039054,0.1499316766415975,0.25002886653232864,0.894,2993210785792,19985416
MRNA,-5.94321145175749,-0.23005535656138065,1.9102937803053828,0.2745956800173669,2.0773639023600836,0.08972138010682836,1.662,32412270592,4242645
MDLZ,20.095323477455,0.07859534114944461,0.1065593718785054,0.930743371013153,0.24876326337112037,0.703130508355073,0.537,93880025088,6383888
MDB,-69.94889271473312,-0.08144988120469382,0.417920144465481,-1.1038312096073308,-0.26418831777479873,1.1075773464460346,1.13,17199271936,1777872
MNST,22.239183828848315,0.2016570034115444,0.15795107464901914,1.523942432588291,0.128449863040363,0.0,,44081500160,10038474
NFLX,40.32097833262367,0.142698927636695,0.10497600217361525,1.119864139762643,0.26669024756104476,0.7063842967609828,1.266,270524137472,3289485
NVDA,77.70414218512677,0.501643135345667,0.5401727547489652,2.2905215433300876,1.0019267747684188,0.25724789427148775,1.68,2582083534848,377608679
NXPI,18.965915159956474,0.15094649529832055,0.15519262479790874,0.3375600542027677,0.6882432539587735,1.2472098214285714,1.501,62470721536,2124691
ORLY,22.86178846438713,0.2296819107914333,0.10863648513219015,0.44193023928863234,0.1195846026160946,-4.50819535462416,0.924,65055580160,433285
ODFL,25.573366324672865,0.29763353229713485,0.13470927031510338,1.9990881092839352,0.2835038323543659,0.018783595608165792,1.003,42002210816,1908645
ON,12.213981756963575,0.19777226224347721,0.16237530563994418,1.3463451177432049,0.6656075824948481,0.43071045816988435,1.69,30940155904,6482316
PCAR,9.343268473025697,0.1456615568521975,0.23324019220818237,1.021853642763709,0.5404428720509944,0.8964468347734086,0.916,48899428352,2976093
PANW,261.8288205731991,0.02670831867927261,0.2645798962418118,-0.030361145016584948,-2.7441518057376886,1.2987302676733012,1.145,102764404736,3260111
PAYX,20.317228226852492,0.20938833296414366,0.09170045406246818,0.9893702266182547,0.1781252954167241,0.22791370691923177,0.991,44788998144,1999677
PYPL,13.158897915857604,0.0601708735973517,0.11539420076479345,0.5938612077988462,0.23779994697788473,0.45964562253574653,1.424,65715372032,12379393
PDD,8.9915758803908,0.16863674740601334,0.608621759873474,0.8586346949931813,1.274552410411785,0.05429295957708801,0.615,191678054400,8182911
